Movie,Year,Score,Adjusted Score,Director,Cast,Consensus,Box Office Collection,Imdb_genre,IMDB Rating,metascore,time_minute,Votes,Is Common Movie
Hot Rod,2007,39,42.918,Akiva Schaffer,"Andy Samberg, Jorma Taccone, Bill Hader, Danny R. McBride","For Rod Kimball (Andy Samberg), performing stunts is a way of life, even though he is rather accident-prone. Poor Rod...",14371564,Comedy,6.7,43,88,84956,FALSE
Game Night,2018,85,99.838,John Francis Daley,"Jason Bateman, Rachel McAdams, Kyle Chandler, Sharon Horgan",Max and Annie's weekly game night gets kicked up a notch when Max's brother Brooks arranges a murder mystery party...,117378084,Comedy,6.9,66,100,229292,FALSE
The First Wives Club,1996,49,53.174,Hugh Wilson,"Goldie Hawn, Bette Midler, Diane Keaton, Maggie Smith","Despondent over the marriage of her ex-husband to a younger woman, a middle-aged divorc¨¦e plunges to her death from her...",181489203,Comedy,6.4,58,103,48413,TRUE
Scary Movie,2000,52,54.973,Keenen Ivory Wayans,"Shawn Wayans, Marlon Wayans, Cheri Oteri, Shannon Elizabeth","Defying the very notion of good taste, Scary Movie out-parodies the pop culture parodies with a no-holds barred assault on...",277200000,Comedy,6.2,48,88,254927,FALSE
Blockers,2018,84,96.883,Kay Cannon,"Leslie Mann, Ike Barinholtz, John Cena, Kathryn Newton","Julie, Kayla and Sam are three high school seniors who make a pact to lose their virginity on prom night....",94523781,Comedy,6.2,69,102,78498,FALSE
The Bank Dick,1940,100,102.042,Edward F. Cline,"W.C. Fields, Cora Witherspoon, Una Merkel, Evelyn Del Rio",Egbert Sous¨¦ (W.C. Fields) becomes an unexpected hero when a bank robber falls over a bench he's occupying. Now considered...,,,,,,,FALSE
Mrs. Doubtfire,1993,72,75.039,Chris Columbus,"Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein","Troubled that he has little access to his children, divorced Daniel Hillard (Robin Williams) hatches an elaborate plan. With help...",441286003,Comedy,7,53,125,264071,TRUE
Pitch Perfect,2012,81,86.532,Jason Moore,"Anna Kendrick, Skylar Astin, Rebel Wilson, Adam DeVine","College student Beca (Anna Kendrick) knows she does not want to be part of a clique, but that's exactly where...",116044347,Comedy,7.1,66,112,299964,FALSE
Four Lions,2009,83,87.28,Christopher Morris,"Riz Ahmed, Arsher Ali, Nigel Lindsay, Kayvan Novak","A group of young Muslim men living in Sheffield decide to wage jihad, and they hatch an inept plan to...",8607693,Comedy,7.2,68,97,77085,FALSE
Safety Last,1923,97,103.368,Fred C. Newmeyer,"Harold Lloyd, Mildred Davis, Bill Strother, Noah Young","A boy (Harold Lloyd) moves to New York City to make enough money to support his loving girlfriend (Mildred Davis),...",,,,,,,FALSE
